,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Hướng ban công,Ngày đăng,Ngày hết hạn,Category
10,Tin thường,41495472,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ma-lo-phuong-binh-tri-dong-a/-moi-full-noi-that-giap-q-tan-phu-co-thang-y-duc-5-5-tam-4-1x26m-tien-huong-2-pr41495472,106 m²,"9,8 tỷ",Đông,5 tầng,8 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Full,"Nhà mới full nội thất giáp Q. Tân Phú có thang máy đúc 5,5 tấm 4,1x26m mặt tiền Mã Lò, Hương Lộ 2","Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",30 m,"4,1 m",TIN XÁC THỰC,Đông,11/11/2024,21/11/2024,Nha Mat Pho
11,Tin thường,40768523,https://batdongsan.com.vn/ban-nha-mat-pho-duong-luy-ban-bich-phuong-phu-tho-hoa/-tien-quan-tan-phu-pr40768523,106 m²,26 tỷ,Đông - Nam,5 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,Bán nhà mặt tiền đường Luỹ Bán Bích quận Tân Phú,"Đường Lũy Bán Bích, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",25 m,4 m,TIN XÁC THỰC,Đông - Nam,12/11/2024,22/11/2024,Nha Mat Pho
12,Tin VIP Vàng,41494492,https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-thi-xuan-phuong-pham-ngu-lao-1/ban-gia-tot-t-truong-so-95-dt-4-2x17m-xay-3-lau-gia-30-5-ty-442trieu-m2-pr41494492,69 m²,"30,5 tỷ",Tây - Bắc,4 tầng,,3 phòng,Sổ đỏ/ Sổ hồng,,"Bán nhà giá tốt nhất thị trường số 95 Bùi Thị Xuân, DT 4.2x17m xây 3 lầu giá 30.5 tỷ(~442triệu/m2)","Số 95 Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",20 m,"4,2 m",Chưa Xác Thực,Tây - Bắc,11/11/2024,21/11/2024,Nha Mat Pho
13,Tin VIP Vàng,41484687,https://batdongsan.com.vn/ban-nha-mat-pho-pho-dang-tat-phuong-tan-dinh-2/can-duy-nhat-goc-3-tien-sang-trong-thuong-hieu-cap-quan-1-dt-4-2x-22m-3-tang-pr41484687,93 m²,39 tỷ,,3 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Căn duy nhất! Góc 3 mặt tiền sang trọng, thương hiệu đẳng cấp Đặng Tất, Quận 1. DT 4,2x 22m, 3 tầng","Đường Đặng Tất, Phường Tân Định, Quận 1, Hồ Chí Minh",,"4,2 m",Chưa Xác Thực,,10/11/2024,17/11/2024,Nha Mat Pho
14,Tin VIP Vàng,40494918,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-dinh-chieu-phuong-da-kao/toa-mt-2-quan-1-10x30m-ham-8-tang-cho-thue-400tr-gia-100-ty-pr40494918,280 m²,100 tỷ,,8 tầng,,,,,"Tòa nhà MT Nguyễn Đình Chiểu (2 chiều), Quận 1 - 10x28m - hầm 8 tầng - Cho thuê 400tr - giá 100 tỷ","Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh",,10 m,Chưa Xác Thực,,10/11/2024,17/11/2024,Nha Mat Pho
15,Tin VIP Vàng,41211065,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ho-ba-kien-phuong-15-3/-tien-kinh-doanh-q10-ngang-lon-4-7m-x-16m-72m2-chi-17-x-ty-thuong-luong-pr41211065,72 m²,"17,99 tỷ",,2 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"MẶT TIỀN GIÁ HẺM Q10 - SIÊU NGON - NGANG LỚN 4.7m x 16m - 72m2 - chỉ 17,x tỷ TL","Đường Hồ Bá Kiện, Phường 15, Quận 10, Hồ Chí Minh",15 m,"4,7 m",Chưa Xác Thực,,09/11/2024,16/11/2024,Nha Mat Pho
16,Tin VIP Vàng,41479190,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thi-thap-phuong-tan-phong-9/2mt-21x22m-1-tret-gia-82-ty-pr41479190,455 m²,82 tỷ,,,,,Sổ đỏ/ Sổ hồng,,2MT Nguyễn Thị Thập: 21x22m. 1 trệt. Giá 82 tỷ,"Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Hồ Chí Minh",,,Chưa Xác Thực,,09/11/2024,16/11/2024,Nha Mat Pho
17,Tin VIP Vàng,41478463,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-van-sy-phuong-14-1/ban-2-tien-quan-3-dt-15x23m-4-tang-hdt-300-trieu-th-gia-120-ty-pr41478463,325 m²,120 tỷ,,4 tầng,,,Hợp đồng mua bán,Đầy đủ,"Bán nhà 2 mặt tiền đường Lê Văn Sỹ, Quận 3 - DT: 15x23m - 4 tầng - HĐT: 300 triệu/th - giá 120 tỷ","Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",30 m,15 m,Chưa Xác Thực,,09/11/2024,16/11/2024,Nha Mat Pho
18,Tin VIP Vàng,40554100,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quoc-lo-1a-phuong-binh-hung-hoa/toi-can-ban-go-tien-ql1a-khu-1-p-q-tan-ngay-nga-4-go-may-pr40554100,300 m²,"11,5 tỷ",,2 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Tôi cần bán nhà gỗ mặt tiền đường QL1A, khu phố 1, P. Bình Hưng Hòa, Q. Bình Tân, ngay ngã 4 Gò Mây","Đường Quốc lộ 1A, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",,,Chưa Xác Thực,,08/11/2024,23/11/2024,Nha Mat Pho
19,Tin VIP Vàng,41195999,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-mai-ninh-phuong-12-10/can-ban-tien-tret-2-lau-gia-9-3-ty-pr41195999,52 m²,"9,3 tỷ",,3 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,"Cần bán nhà mặt tiền Trần Mai Ninh, trệt 2 lầu, giá 8.9 tỷ","Đường Trần Mai Ninh, Phường 12, Tân Bình, Hồ Chí Minh",12 m,"3,5 m",Chưa Xác Thực,,08/11/2024,15/11/2024,Nha Mat Pho
20,Tin VIP Vàng,41460551,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-xich-long-phuong-7-11/chinh-chu-ban-tien-tai-am-thuc-vi-tri-dac-dia-pr41460551,128 m²,85 tỷ,,,,,Sổ hồng,,Chính chủ bán nhà mặt tiền tại phố ẩm thực Phan Xích Long vị trí đắc địa,"224-226, Đường Phan Xích Long, Phường 7, Phú Nhuận, Hồ Chí Minh",,,Chưa Xác Thực,,08/11/2024,18/11/2024,Nha Mat Pho
21,Tin VIP Vàng,41413258,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-5-phuong-binh-hung-hoa/ban-tien-ngang-4x23m-chinh-chu-4-tang-xay-dung-va-hoan-cong-thang-3-2024-co-thang-may-pr41413258,92 m²,"15,8 tỷ",,4 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,"Bán nhà mặt tiền ngang 4x23m chính chủ, 4 tầng, xây dựng và hoàn công tháng 3/2024 có thang máy","Đường Số 5, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",15 m,4 m,Chưa Xác Thực,,07/11/2024,17/11/2024,Nha Mat Pho
22,Tin VIP Vàng,40877182,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ma-lo-phuong-binh-tri-dong-a/ban-tien-sieu-pham-co-thang-y-6-tam-4-1m-x-26m-noi-that-cao-cap-tien-lo-pr40877182,106 m²,"13,85 tỷ",Đông,6 tầng,7 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp.,"Bán Nhà Mặt Tiền đường Mã Lò Có Thang Máy 6 Tấm (4m x 26m), Nội Thất Cao Cấp-Ngay Chung Cư Lê Thành","Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",30 m,4 m,Chưa Xác Thực,Đông,07/11/2024,17/11/2024,Nha Mat Pho
23,Tin VIP Vàng,41451242,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-huong-phuong-thao-dien/giam-sau-hon-40-ty-ban-can-biet-thu-ba-tien-tich-khung-pr41451242,1.000 m²,Thỏa thuận,Đông - Bắc,4 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Giảm sâu hơn 40 tỷ bán căn biệt thự ba mặt tiền Thảo Điền diện tích khủng,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",20 m,40 m,Chưa Xác Thực,,06/11/2024,14/11/2024,Nha Mat Pho
24,Tin VIP Vàng,41436214,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-thai-tong-phuong-15-8/giam-500tr-chinh-chu-can-ban-tien-p-15-tan-binh-tphcm-pr41436214,82 m²,"14,5 tỷ",,3 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,"Giảm 500tr, Chính chủ Cần bán nhà mặt tiền đường Trần Thái Tông P.15 Tân Bình TPHCM","Đường Trần Thái Tông, Phường 15, Tân Bình, Hồ Chí Minh",18 m,,Chưa Xác Thực,,05/11/2024,12/11/2024,Nha Mat Pho
25,Tin VIP Vàng,41432592,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-van-nam-phuong-phu-thanh/chinh-chu-ban-nh-tien-tan-gia-tot-thuong-luong-cho-khach-thien-chi-pr41432592,60 m²,"8,2 tỷ",Tây - Bắc,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Chính chủ bán nhanh nhà mặt tiền Phan Văn Năm Tân Phú, giá tốt, thương lượng cho khách thiện chí","67 Đường Phan Văn Năm, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",16 m,,Chưa Xác Thực,,05/11/2024,20/11/2024,Nha Mat Pho
26,Tin VIP Vàng,41418089,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-anh-thu-phuong-trung-my-tay/ban-gap-quan-ca-phe-xua-o-q12-de-di-dinh-cu-tu-72ty-giam-con-54-ty-611m2-full-tho-cu-pr41418089,611 m²,54 tỷ,,,,,,,Bán gấp quán cà phê phố xưa ở q12 để đi định cư. Từ 72tỷ giảm còn 54 tỷ. 611m2 full thổ cư,"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",,,Chưa Xác Thực,,04/11/2024,19/11/2024,Nha Mat Pho
27,Tin VIP Vàng,41416989,https://batdongsan.com.vn/ban-nha-mat-pho-duong-a4-phuong-12-10/ban-76-p-12-tb-hcm-3-tang-khu-k300-gan-t3-tsn-mr-tam-69-ty-pr41416989,180 m²,69 tỷ,Đông,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Bán nhà 76 Đường A4 P.12 TB HCM, 3 tầng, Khu K300, gần T3 TSN. Mr.Tâm 0918 261 ***/0906 661 *** - 69 tỷ","76 Đường A4, Phường 12, Tân Bình, Hồ Chí Minh",,11 m,Chưa Xác Thực,,04/11/2024,19/11/2024,Nha Mat Pho
28,Tin VIP Vàng,41389946,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-van-huan-phuong-13-10/ban-25-p-13-tb-hcm-7-tang-ham-ngay-etown-t3-tsn-85-ty-pr41389946,240 m²,85 tỷ,Đông - Nam,7 tầng,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà 25 Lê Văn Huân P.13 TB HCM, 7 tầng, hầm, ngay Etown, T3 TSN. 0902 499 ***/0903 957 *** - 85 tỷ","25 Lê Văn Huân, 13, Tân Bình, Hồ Chí Minh",5 m,15 m,Chưa Xác Thực,,01/11/2024,16/11/2024,Nha Mat Pho
29,Tin VIP Bạc,41506293,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-cong-tru-phuong-nguyen-thai-binh/hot-tien-quan-1-dt-8x18m-ctxd-9-tang-vi-tri-ngay-ngan-hang-nuoc-pr41506293,156 m²,110 tỷ,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Hot...mặt tiền đường Nguyễn Công Trứ, Quận 1,DT 8x18m, CTXD 9 tầng, vị trí ngay Ngân Hàng nhà nước","Đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",,8 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
30,Tin VIP Bạc,41505978,https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-ta-han-phuong-an-phu-prj-an-phu-an-khanh/ban-gia-soc-chi-18-ty-quan-2-hcm-pr41505978,80 m²,18 tỷ,Tây,2 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,"BÁN NHÀ MẶT PHỐ GIÁ SỐC CHỈ 18 TỶ ĐƯỜNG BÙI TÁ HÁN, QUẬN 2, HCM","An Phú An Khánh, Đường Bùi Tá Hán, Phường An Phú, Quận 2, Hồ Chí Minh",12 m,4 m,Chưa Xác Thực,Tây,12/11/2024,19/11/2024,Nha Mat Pho
31,Tin thường,40953277,https://batdongsan.com.vn/ban-nha-mat-pho-duong-672-phuong-phuoc-long-b/an-iet-thu-3-tang-12-2x19m-vi-tri-vip-tien-gan-xa-lo-ha-noi-p-q9-pr40953277,"229,9 m²","23,5 tỷ",Đông - Bắc,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán biệt thự 3 tầng 12,2x19m, vị trí VIP. Mặt tiền gần đường Xa Lộ Hà Nội, P Phước Long B, Q9","Đường 672, Phường Phước Long B, Quận 9, Hồ Chí Minh",,"12,2 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
32,Tin thường,41118404,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-42-phuong-binh-trung-dong/ban-toa-1-ham-6-lau-789m2-chi-38-ty-42-p-q2-ke-benh-vien-le-van-th-pr41118404,202 m²,38 tỷ,,7 tầng,21 phòng,21 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán tòa nhà 1 hầm 6 lầu sàn 789m2 chỉ 38 tỷ. Đường Số 42, P Bình Trưng Đông, Q2. Kế BV Lê Văn Thịnh","Đường Số 42, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,"8,4 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
33,Tin thường,41271065,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-4-phuong-an-phu/b-tien-4-khu-4-p-q2-dt-6m-x-9-25m-gia-11-ty-g-vincom-mega-mall-pr41271065,"54,4 m²",11 tỷ,Tây - Nam,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán nhà mặt tiền đường Số 4, khu phố 4, P.An Phú, Q2. DT 6m x 9,25m giá 11 tỷ. Gần Vincom Mega Mall","39A, Đường Số 4, Phường An Phú, Quận 2, Hồ Chí Minh",,6 m,TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
34,Tin thường,41505583,https://batdongsan.com.vn/ban-nha-mat-pho-duong-42-3-phuong-binh-trung-dong/-mt-42-dien-tich-145m2-xd-4-tang-5pn-5wc-co-gara-xe-hoi-gia-14-5-ty-tl-chinh-chu-pr41505583,145 m²,"14,5 tỷ",,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Nhà MT Đường 42, diện tích 145m2 XD 4 tầng 5PN 5WC có gara xe hơi. Giá 14.5 tỷ TL chính chủ","Đường 42, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,22/11/2024,Nha Mat Pho
35,Tin thường,41491558,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-loi-1-phuong-4-18/ban-rieng-4-go-vap-18-2-ty-vnd-131-1m2-pr41491558,"131,1 m²","18,2 tỷ",Tây,1 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán nhà đường Lê Lợi, Phường 4, Gò Vấp, 18,2 tỷ vnd, 131,1m2","Đường Lê Lợi, Phường 4, Gò Vấp, Hồ Chí Minh",,8 m,TIN XÁC THỰC,Tây,11/11/2024,21/11/2024,Nha Mat Pho
36,Tin thường,41495780,https://batdongsan.com.vn/ban-nha-mat-pho-duong-mieu-go-xoai-phuong-binh-hung-hoa-a/-moi-4-5-tam-4x20m-sieu-dep-full-noi-that-mtkd-so-14-le-van-quoi-pr41495780,80 m²,"8,8 tỷ",Bắc,5 tầng,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,"Nhà mới 4,5 tấm 4x20m siêu đẹp full nội thất MTKD Miếu Gò Xoài - Đường Số 14, Lê Văn Quới","Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",12 m,4 m,TIN XÁC THỰC,Bắc,11/11/2024,21/11/2024,Nha Mat Pho
37,Tin thường,41392030,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-ba-huan-phuong-thao-dien/n-dat-tang-205m2-4-tang-9pn-mt-hdt-3000-gia-39-5-ty-192tr-m-con-tl-pr41392030,205 m²,"39,5 tỷ",,4 tầng,9 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán đất tặng nhà, 205m2 4 tầng 9PN, MT Nguyễn Bá Huân HĐT 75,18 triệu. Giá 39.5tỷ, 192tr/m2 còn TL","Đường Nguyễn Bá Huân, Phường Thảo Điền, Quận 2, Hồ Chí Minh",12 m,"7,5 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
38,Tin thường,41495472,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ma-lo-phuong-binh-tri-dong-a/-moi-full-noi-that-giap-q-tan-phu-co-thang-y-duc-5-5-tam-4-1x26m-tien-huong-2-pr41495472,106 m²,"9,8 tỷ",Đông,5 tầng,8 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Full,"Nhà mới full nội thất giáp Q. Tân Phú có thang máy đúc 5,5 tấm 4,1x26m mặt tiền Mã Lò, Hương Lộ 2","Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",30 m,"4,1 m",TIN XÁC THỰC,Đông,11/11/2024,21/11/2024,Nha Mat Pho
39,Tin thường,40768523,https://batdongsan.com.vn/ban-nha-mat-pho-duong-luy-ban-bich-phuong-phu-tho-hoa/-tien-quan-tan-phu-pr40768523,106 m²,26 tỷ,Đông - Nam,5 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,Bán nhà mặt tiền đường Luỹ Bán Bích quận Tân Phú,"Đường Lũy Bán Bích, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",25 m,4 m,TIN XÁC THỰC,Đông - Nam,12/11/2024,22/11/2024,Nha Mat Pho
40,Tin VIP Bạc,41505977,https://batdongsan.com.vn/ban-nha-mat-pho-duong-d3a-phuong-phuoc-long-b/ban-tai-quan-9-4-pn-5-pt-3-tang-phap-ly-day-du-pr41505977,"167,5 m²",Thỏa thuận,Tây - Bắc,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,"BÁN NHÀ MẶT PHỐ TẠI ĐƯỜNG D3A, QUẬN 9, 4 PN, 5 PT, 3 TẦNG, PHÁP LÝ ĐẦY ĐỦ","Đường D3A, Phường Phước Long B, Quận 9, Hồ Chí Minh",14 m,9 m,Chưa Xác Thực,Đông - Bắc,12/11/2024,27/11/2024,Nha Mat Pho
41,Tin VIP Bạc,41505953,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-17-phuong-tan-thuan-tay-1/ban-lam-van-ben-5x21m-2-tang-vi-tri-kinh-doanh-sam-uat-pr41505953,88 m²,"12,3 tỷ",Bắc,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà đường số Lâm Văn Bền ( 5x21m ) 2 Tầng , Vị trí kinh doanh sầm uất","Đường Số 17, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",,5 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
42,Tin VIP Bạc,41376140,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-xich-long-phuong-7-11/qua-hot-mt-cung-am-thuc-dt-816m-vuong-det-gia-ban-78-ty-tl-pr41376140,128 m²,85 tỷ,,,,,Sổ đỏ/ Sổ hồng,,Quá hot! MT Phan Xích Long - Cung Đường Ẩm Thực - DT: 8x16m vuông đét. Giá: 85 tỷ,"Đường Phan Xích Long, Phường 7, Phú Nhuận, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
