,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Ngày đăng,Ngày hết hạn,Hướng ban công,Category
10,Tin thường,41412109,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-11-7/san-pham-vip-rach-xuyen-tam-ban-dt-5x22-khai-thac-100tr-th-gia-14-5-ty-pr41412109,"115,8 m²",13 tỷ,Tây - Nam,5 tầng,11 phòng,12 phòng,Sổ đỏ/ Sổ hồng.,,"Bán nhà Nơ Trang Long, DT 5x22m, hợp đồng thuê 45tr, 2 mặt hẻm 6m thông, giá 13 tỷ","Đường Nơ Trang Long, Phường 11, Bình Thạnh, Hồ Chí Minh",6 m,,TIN XÁC THỰC,03/11/2024,03/12/2024,,Nha Rieng
11,Tin thường,41404709,https://batdongsan.com.vn/ban-nha-rieng-duong-so-30-phuong-6-14/ban-kdc-30-khu-dong-bo-an-ninh-5-tang-oto-ngu-trong-gia-8-5-ty-tl-chinh-chu-pr41404709,67 m²,"8,5 tỷ",,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà KDC đường số 30 - khu đồng bộ an ninh & 5 tầng + ôtô ngủ trong nhà giá 8,5 tỷ TL chính chủ","Đường Số 30, Phường 6, Gò Vấp, Hồ Chí Minh",,4 m,TIN XÁC THỰC,12/11/2024,22/11/2024,,Nha Rieng
12,Tin VIP Kim Cương,40897090,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-ky-tan-quy-phuong-binh-hung-hoa/-moi-doan-mo-rong-30m-4m-x-20m-thong-7m-kinh-doanh-mua-ban-pr40897090,63 m²,"5,5 tỷ",Bắc,4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Nội thất hiện đại cao cấp.,"Nhà mới Cuối đường Tân Kỳ Tân Quý - 4,2m x 15m - đường nhựa 6M - OTO NGỦ NGAY TRONG NHÀ - SÂN VƯỜN","Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",6 m,4 m,Chưa Xác Thực,09/11/2024,16/11/2024,Bắc,Nha Rieng
13,Tin thường,40964442,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dt-743-phuong-binh-chuan-prj-cat-tuong-j-home/chi-990-trieu-so-huu-pho-compound-cao-cap-ngay-trung-tam-thanh-pho-thuan-an-home-pr40964442?source=ad&adid=2592166,110 m²,3 tỷ,,3 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Chỉ 990 triệu sở hữu nhà phố compound cao cấp ngay trung tâm thành phố Thuận An | Cát Tường J-Home,"Dự án Cát Tường J - Home , Đường ĐT 743, Phường Bình Chuẩn, Thuận An, Bình Dương",,,Chưa Xác Thực,19/09/2024,,,Nha Rieng
14,Tin VIP Kim Cương,40008681,https://batdongsan.com.vn/ban-nha-rieng-duong-dinh-duc-thien-xa-binh-chanh-3/duy-t-can-chinh-chu-so-hong-gia-chi-2-ty-250-trieu-pr40008681,200 m²,"2,6 tỷ",,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"BÁN CĂN NHÀ 200m2 1 LẦU MỚI XÂY ĐƯỜNG ĐINH ĐỨC THIỆN, CHỢ BÌNH CHÁNH","Đường Đinh Đức Thiện, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh.",8 m,5 m,Chưa Xác Thực,08/11/2024,23/11/2024,,Nha Rieng
15,Tin VIP Kim Cương,41422117,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-ngu-lao-phuong-3-20/ban-dep-khu-pho-an-ninh-41-12-p-3-go-vap-pr41422117,"156,1 m²","25,5 tỷ",Đông - Nam,5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,"Bán nhà đẹp khu phố an ninh 41/12 Phạm Ngũ Lão, P. 3, Gò Vấp","41/12, Đường Phạm Ngũ Lão, Phường 3, Gò Vấp, Hồ Chí Minh",10 m,7 m,Chưa Xác Thực,05/11/2024,12/11/2024,Đông - Nam,Nha Rieng
16,Tin VIP Kim Cương,41408975,https://batdongsan.com.vn/ban-nha-rieng-duong-le-thuc-hoach-phuong-phu-tho-hoa/ban-1-8m-19-tai-quan-tan-tp-hcm-pr41408975,152 m²,15 tỷ,Tây - Bắc,2 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà 1/ đường Lê Thúc Hoạch: 8m * 19m tại Phường Phú Thọ Hoà, Quận Tân Phú, TP. HCM","1/6 Đường Lê Thúc Hoạch, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",8 m,8 m,Chưa Xác Thực,02/11/2024,13/11/2024,Tây - Bắc,Nha Rieng
17,Tin VIP Vàng,41318207,https://batdongsan.com.vn/ban-nha-rieng-duong-dinh-duc-thien-xa-binh-chanh-3/-mat-tien-gan-cho-dang-cho-thue-8tr-thang-gia-800-trieu-so-hong-rieng-pr41318207,95 m²,800 triệu,,1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nhà mặt tiền 12m - Gần chợ - Giá 800 triệu - Đang cho thuê 8tr / tháng - Sổ hồng riêng,"Đường Đinh Đức Thiện, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",12 m,8 m,Chưa Xác Thực,12/11/2024,19/11/2024,,Nha Rieng
18,Tin thường,40510772,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hac-dich-toc-tien-phuong-hac-dich-prj-phu-my-estates/-pho-do-vinaliving-phat-trien-xung-tam-va-dung-chat-khu-pho-cao-cap-an-ninh-pr40510772?source=ad&adid=2608741,85 m²,"4,2 tỷ",,4 tầng,4 phòng,6 phòng,Sổ Hồng từng căn,,Chỉ bằng căn hộ chung cư - Nhưng khả năng X2 tài sản với nhà phố cao cấp đón đầu TP Phú Mỹ vào 2025,"Dự án Phú Mỹ Estates, Đường Hắc Dịch - Tóc Tiên, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu",17 m,20 m,Chưa Xác Thực,12/11/2024,12/12/2024,,Nha Rieng
19,Tin VIP Vàng,41499568,https://batdongsan.com.vn/ban-nha-rieng-pho-phan-dang-luu-phuong-5-16/ha-60-ty-ban-nhanh-mat-tien-ngay-p5-phu-nhuan-dt-650m2-22x38m-gia-ve-89-ty-tl-pr41499568,650 m²,89 tỷ,,,,,,Đầy đủ,"Hạ 60 tỷ bán nhanh mặt tiền ngay Phan Đăng Lưu, P5, Phú Nhuận DT: 650m2 22x38m giá về 89 tỷ TL","Đường Phan Đăng Lưu, Phường 5, Phú Nhuận, Hồ Chí Minh",,22 m,Chưa Xác Thực,12/11/2024,19/11/2024,,Nha Rieng
20,Tin VIP Vàng,41497353,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-phuoc/can-ban-tret-lau-mat-tien-kinh-doanh-ngay-van-phuc-dt-250m2-6-5x38-5m-gia-ban-gap-pr41497353,250 m²,"12,8 tỷ",,2 tầng,10 phòng,,Sổ đỏ/ Sổ hồng,,"Cần bán nhà trệt lầu, mặt tiền đường kinh doanh ngay Vạn Phúc, DT 250m2, 6.5x38.5m, giá bán gấp","Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",6 m,"6,5 m",Chưa Xác Thực,11/11/2024,21/11/2024,,Nha Rieng
21,Tin VIP Vàng,41497059,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-dieu-2-phuong-linh-chieu/dong-tien-6-nam-chdv-80m2-ngang-5-2-nhinh-8-ty-pr41497059,80 m²,"8,5 tỷ",Đông - Nam,,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Dòng tiền 6%/năm, CHDV 80m2 ngang 5m, Hoàng Diệu 2, nhỉnh 8 tỷ","Đường Hoàng Diệu 2, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",,,Chưa Xác Thực,11/11/2024,18/11/2024,,Nha Rieng
22,Tin VIP Vàng,41486172,https://batdongsan.com.vn/ban-nha-rieng-duong-chu-van-an-phuong-12-7/tin-that-100-b-hxh-419-15-p12-binh-thh-cn-74m2-ngg-rong-6m-no-hau-10m-pr41486172,"73,5 m²","9,7 tỷ",Bắc,2 tầng,3 phòng,2 phòng,,,"Tin thật 100% - bán nhà HXH 419/15 Chu Văn An, P12, Bình Thạnh. CN 74m2. Ngang rộng 6m, nở hậu 10m","419/15 Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh",5 m,6 m,Chưa Xác Thực,10/11/2024,25/11/2024,,Nha Rieng
23,Tin VIP Vàng,41495465,https://batdongsan.com.vn/ban-nha-rieng-xa-phong-phu-4/chu-tu-ban-day-tro-8-trinh-quang-nghi-so-hong-rieng-pr41495465,152 m²,"1,15 tỷ",,,,,,,CHÚ TƯ BÁN DÃY TRỌ 8 PHÒNG TRỊNH QUANG NGHỊ SỔ HỒNG RIÊNG,"Xã Phong Phú, Bình Chánh, Hồ Chí Minh",,,Chưa Xác Thực,11/11/2024,18/11/2024,,Nha Rieng
24,Tin VIP Vàng,41494460,https://batdongsan.com.vn/ban-nha-rieng-duong-de-tham-phuong-cau-ong-lanh/chinh-chu-ban-trung-tam-quan-1-1-tret-3-lau-tong-9-phong-ngu-pr41494460,"89,3 m²",25 tỷ,Đông - Nam,4 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Chính chủ bán nhà trung tâm Quận 1 gồm trệt, 3 lầu, tổng 9 phòng ngủ","Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",,,Chưa Xác Thực,11/11/2024,18/11/2024,Đông - Nam,Nha Rieng
25,Tin VIP Vàng,41042217,https://batdongsan.com.vn/ban-nha-rieng-duong-nhieu-tu-phuong-7-11/-3-lau-lung-linh-5-phong-full-noi-that-xach-vali-vao-o-ngay-hem-nhua-6m-canh-pxlong-pr41042217,39 m²,"7,95 tỷ",Tây - Nam,4 tầng,5 phòng,4 phòng,Sổ hồng,Đầy đủ,"Nhà 3 lầu lung linh, 5 phòng, full nội thất xách vali vào ở ngay hẻm nhựa 6m Nhiêu Tứ - Cạnh PXL","Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",6 m,3 m,Chưa Xác Thực,11/11/2024,18/11/2024,Tây - Nam,Nha Rieng
26,Tin VIP Vàng,41003534,https://batdongsan.com.vn/ban-nha-rieng-phuong-thao-dien/ban-dep-moi-xay-4-tang-quan-2-yen-tinh-nghi-duong-pr41003534,117 m²,26 tỷ,Tây,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Bán nhà đẹp mới xây 4 tầng Quận 2 Thảo Điền yên tĩnh nghỉ dưỡng,"Phường Thảo Điền, Quận 2, Hồ Chí Minh",8 m,"4,6 m",Chưa Xác Thực,11/11/2024,26/11/2024,Tây,Nha Rieng
27,Tin VIP Vàng,41489393,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-thanh-khiet-thi-tran-tan-tuc/sang-day-tro-14p-250m2-shr-1-25-ty-o-binh-chanh-pr41489393,250 m²,"1,25 tỷ",,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Sang dãy trọ 14p - 250m2 - SHR, 1,25 tỷ ở Bùi Thanh Khiết, Bình Chánh","Đường Bùi Thanh Khiết, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh",12 m,12 m,Chưa Xác Thực,11/11/2024,18/11/2024,,Nha Rieng
28,Tin VIP Vàng,41488172,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-7-9/ban-dat-tang-chi-hon-70tr-m2-tien-xay-vuon-chdv-gan-phan-dang-luu-no-trang-long-pr41488172,186 m²,"14,7 tỷ",,1 tầng,4 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bán đất tặng nhà. Chỉ hơn 70tr/m2. Tiện xây nhà vườn - CHDV - gần Phan Đăng Lưu - Nơ Trang Long,"Đường Hoàng Hoa Thám, Phường 7, Bình Thạnh, Hồ Chí Minh",4 m,7 m,Chưa Xác Thực,11/11/2024,18/11/2024,,Nha Rieng
29,Tin VIP Vàng,41276429,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/ban-48m-chin-chu-be-pr41276429,"48,4 m²","3,95 tỷ",Đông,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Bán nhà riêng 48m2 chính chủ Nhà Bè,"Hẻm 1806, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",3 m,,Chưa Xác Thực,10/11/2024,17/11/2024,Đông,Nha Rieng
30,Tin VIP Vàng,41484707,https://batdongsan.com.vn/ban-nha-rieng-duong-co-bac-phuong-co-giang/ban-tai-quan-1-gia-7-05-ty-39m2-4-pn-3-pt-pr41484707,39 m²,"7,05 tỷ",Đông - Nam,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Bán nhà riêng tại đường Cô Bắc, Quận 1, giá 7,05 tỷ, 39m2, 4 PN, 3 PT","Đường Cô Bắc, Phường Cô Giang, Quận 1, Hồ Chí Minh",15 m,39 m,Chưa Xác Thực,10/11/2024,17/11/2024,Đông - Nam,Nha Rieng
31,Tin VIP Vàng,41483679,https://batdongsan.com.vn/ban-nha-rieng-duong-12-phuong-truong-thanh-1/ban-dep-4-tang-so-hong-chinh-chu-pr41483679,"53,8 m²","4,8 tỷ",Đông - Bắc,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Bán nhà đẹp 4 tầng sổ hồng chính chủ,"Đường 12, Phường Trường Thạnh, Thủ Đức, Hồ Chí Minh",8 m,"4,5 m",TIN XÁC THỰC,10/11/2024,17/11/2024,Đông,Nha Rieng
32,Tin VIP Vàng,41483903,https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-11-6/can-ban-gap-hem-xe-hoi-3-2-11-quan-10-5-tang-30m2-gia-6-8-thuong-luong-manh-pr41483903,30 m²,"6,8 tỷ",Đông - Bắc,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Cần bán gấp nhà hẻm xe hơi 3/2 phường 11 Quận 10 5 tầng 30m2 giá 6.8 tỷ thương lượng mạnh,"Đường 3/2, Phường 11, Quận 11, Hồ Chí Minh",7 m,3 m,Chưa Xác Thực,10/11/2024,17/11/2024,,Nha Rieng
33,Tin VIP Vàng,41339486,https://batdongsan.com.vn/ban-nha-rieng-duong-trinh-dinh-trong-phuong-phu-trung/-xinh-hem-xe-hoi-104-32-tan-tien-kinh-doanh-buon-ban-gia-3-ty350-pr41339486,"18,1 m²","3,35 tỷ",Tây - Nam,2 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Nhà xinh hẻm xe hơi 104/32 Trịnh Đình Trọng Phú Trung Tân Phú tiện kinh doanh buôn bán giá 3 tỷ350,"104/32 Đường Trịnh Đình Trọng, Phường Phú Trung, Tân Phú, Hồ Chí Minh",4 m,,Chưa Xác Thực,10/11/2024,17/11/2024,,Nha Rieng
34,Tin thường,41252618,https://batdongsan.com.vn/ban-nha-rieng-phuong-6-13/chdv-b-thanh-13-phong-full-noi-that-79m2-11-5-ty-p6-pr41252618,79 m²,"11,5 tỷ",Tây,5 tầng,13 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,CHDV Bình Thạnh 13 phòng - Full nội thất - 79m2 - 11.5 tỷ - P6,"Phường 6, Bình Thạnh, Hồ Chí Minh",3 m,5 m,TIN XÁC THỰC,11/11/2024,26/11/2024,,Nha Rieng
35,Tin thường,41073868,https://batdongsan.com.vn/ban-nha-rieng-duong-27-phuong-hiep-binh-chanh/-ban-khu-ben-song-27-va-pham-van-dong-gan-song-mat-me-90m2-pr41073868,90 m²,"9,6 tỷ",,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nhà bán khu bên sông đường 27 và Phạm Văn Đồng gần sông mát mẻ 90m2,"Đường 27, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,"4,5 m",TIN XÁC THỰC,07/11/2024,22/11/2024,,Nha Rieng
36,Tin thường,39969457,https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-12-5/ban-dien-tich-lon-cu-xa-nguyen-trung-truc-3-thang-2-12-quan-10-ngang-6-x-19m-pr39969457,119 m²,"17,5 tỷ",,,,,,,Bán nhà diện tích lớn Cư Xá Nguyễn Trung Trực Đường 3 Tháng 2 Phường 12 Quận 10 ngang 6 x 19m,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",,,TIN XÁC THỰC,04/11/2024,14/11/2024,,Nha Rieng
37,Tin thường,41438496,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-11-7/ban-moi-5-tang-tai-truoc-7m-o-to-quay-dau-thong-so-chuan-77m2-pr41438496,77 m²,"11,2 tỷ",,5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bán nhà mới 5 tầng tai Phan Văn Trị - Đường trước nhà 7m ô tô quay đầu - Thông số chuẩn 77m2,"Đường Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,06/11/2024,16/11/2024,,Nha Rieng
38,Tin thường,40014317,https://batdongsan.com.vn/ban-nha-rieng-duong-11-1-phuong-truong-tho-2/chinh-chu-ban-67m2-gap-tra-no-bank-pr40014317,67 m²,"3,9 tỷ",Đông - Nam,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Chính chủ bán nhà riêng 67m2 gần TT TP Thủ Đức,"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",6 m,,TIN XÁC THỰC,06/11/2024,06/12/2024,,Nha Rieng
39,Tin thường,41486929,https://batdongsan.com.vn/ban-nha-rieng-duong-hong-lac-phuong-10-10/chinh-chu-ban-trung-tam-quan-tan-binh-dtcn-88-9m2-dtsd-104m2-4-tang-6pn-100tr-m2-sat-mt-pr41486929,"88,9 m²","9,5 tỷ",,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Chính chủ bán nhà trung tâm Quận Tân Bình DTCN 88.9m2, DTSD 104m2, 4 tầng, 6PN, 100tr/m2, sát MT","Đường Hồng Lạc, Phường 10, Quận Tân Bình, Hồ Chí Minh",,"4,3 m",TIN XÁC THỰC,10/11/2024,20/11/2024,,Nha Rieng
40,Tin thường,41463859,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thuong-hien-phuong-6-13/sieu-pham-moi-cuoi-nam-ban-moi-cung-5-tang-tang-full-noi-that-san-do-xe-7-cho-tai-pr41463859,60 m²,"12,8 tỷ",,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Siêu phẩm nhà mới cuối năm! Bán nhà mới cứng 4 tầng tặng full nội thất - sân đỗ xe 7 chỗ tại nhà,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh",6 m,4 m,TIN XÁC THỰC,07/11/2024,18/11/2024,,Nha Rieng
41,Tin thường,41412109,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-11-7/san-pham-vip-rach-xuyen-tam-ban-dt-5x22-khai-thac-100tr-th-gia-14-5-ty-pr41412109,"115,8 m²",13 tỷ,Tây - Nam,5 tầng,11 phòng,12 phòng,Sổ đỏ/ Sổ hồng.,,"Bán nhà Nơ Trang Long, DT 5x22m, hợp đồng thuê 45tr, 2 mặt hẻm 6m thông, giá 13 tỷ","Đường Nơ Trang Long, Phường 11, Bình Thạnh, Hồ Chí Minh",6 m,,TIN XÁC THỰC,03/11/2024,03/12/2024,,Nha Rieng
42,Tin thường,41404709,https://batdongsan.com.vn/ban-nha-rieng-duong-so-30-phuong-6-14/ban-kdc-30-khu-dong-bo-an-ninh-5-tang-oto-ngu-trong-gia-8-5-ty-tl-chinh-chu-pr41404709,67 m²,"8,5 tỷ",,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà KDC đường số 30 - khu đồng bộ an ninh & 5 tầng + ôtô ngủ trong nhà giá 8,5 tỷ TL chính chủ","Đường Số 30, Phường 6, Gò Vấp, Hồ Chí Minh",,4 m,TIN XÁC THỰC,12/11/2024,22/11/2024,,Nha Rieng
