,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Ngày đăng,Ngày hết hạn,Category
10,Tin thường,40534208,https://batdongsan.com.vn/ban-dat-duong-4a-phuong-long-thanh-my/ban-tdc-phuoc-thien-7x21-16m-ngay-vinhomes-q9-pr40534208,147 m²,"6,9 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất TDC Phước Thiện 7x21m, đường 16m, ngay Vinhomes Q9","Đường 4A, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",16 m,7 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
11,Tin thường,40737974,https://batdongsan.com.vn/ban-dat-duong-kenh-a-xa-le-minh-xuan/chu-cn-bn-lo-02-mt-v-lo-2-thich-thien-ho-gi-chot-13-7ty-lh-pr40737974,2.241 m²,"13,7 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Chu cần bán lô 02 MT đường Kênh A và đường Lô 2 Thích Thiện Hoà, giá chốt 13,7tỷ. LH0909 805 ***","Đường Kênh A, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh",,45 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
12,Tin VIP Vàng,41501874,https://batdongsan.com.vn/ban-dat-duong-quoc-huong-phuong-thao-dien/hot-bds-dau-tu-mt-xay-ham-7-tang-368m2-chi-78-ty-pr41501874,368 m²,78 tỷ,,,,,Sổ đỏ/ Sổ hồng,,HOT - BĐS ĐẦU TƯ. ĐẤT MT QUỐC HƯƠNG - THẢO ĐIỀN - XÂY HẦM 7 TẦNG - 368M2 - CHỈ 78 TỶ,"Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh",14 m,11 m,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
13,Tin VIP Vàng,35660212,https://batdongsan.com.vn/ban-dat-phuong-phu-huu-2/chinh-chu-can-ban-nen-6x21m-khu-khang-an-gia-50-trieu-m2-pr35660212,120 m²,55 triệu/m²,,,,,,,"Chính chủ cần bán nền 6x20m, khu Khang An, giá 55 triệu/m2","Phường Phú Hữu, Quận 9, Hồ Chí Minh",12 m,6 m,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
14,Tin VIP Vàng,41126923,https://batdongsan.com.vn/ban-dat-duong-so-49-phuong-binh-thuan-3/ro-hang-xay-chdv-toa-vp-biet-thu-ds-tan-quy-tan-kieng-dt-8x20m-10x20m-12x20m-19-5x20m-pr41126923,200 m²,"23,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Rổ hàng đất xây CHDV, toà VP, biệt thự ĐS Tân Quy, Tân Kiểng - DT: 8x20m, 10x20m, 12x20m, 19,5x20m","Đường Số 49, Phường Bình Thuận, Quận 7, Hồ Chí Minh",14 m,"9,5 m",Chưa Xác Thực,05/11/2024,12/11/2024,Ban Dat
15,Tin VIP Vàng,41480709,https://batdongsan.com.vn/ban-dat-duong-so-25-phuong-hiep-binh-chanh/hang-hiem-gia-mem-nhat-khu-ben-song-view-song-sai-gon-gan-gigamall-pham-van-dong-8-15m-pr41480709,120 m²,13 tỷ,,,,,Sổ hồng,,Hàng hiếm - giá mềm nhất khu bên sông - view sông Sài Gòn - Gần Gigamall - Phạm Văn Đồng (8*15m),"Đường Số 25, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",10 m,8 m,Chưa Xác Thực,09/11/2024,16/11/2024,Ban Dat
16,Tin VIP Vàng,41478783,https://batdongsan.com.vn/ban-dat-duong-30-1-phuong-linh-dong/gan-vanh-dai-2-100m2-xay-dung-tu-do-hem-6m-le-4m-chi-nhinh-6-ty-pr41478783,100 m²,"6,4 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Gần Vành Đai 2, Linh Đông, đất 100m2, xây dựng tự do, hẻm 6m + lề 4m, chỉ nhỉnh 6 tỷ","Đường 30, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",6 m,5 m,Chưa Xác Thực,09/11/2024,16/11/2024,Ban Dat
17,Tin VIP Vàng,41478719,https://batdongsan.com.vn/ban-dat-duong-12-phuong-truong-tho-2/gan-xlhn-xay-tu-do-51m2-chi-hon-4-ty-pr41478719,51 m²,"4,7 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,"Gần XLHN, Trường Thọ, Đất xây tự do, 51m2 chỉ hơn 4 tỷ","Đường 12, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",6 m,"4,2 m",Chưa Xác Thực,09/11/2024,16/11/2024,Ban Dat
18,Tin VIP Vàng,41477137,https://batdongsan.com.vn/ban-dat-duong-so-8-phuong-tang-nhon-phu-b/ban-cap-mat-tien-vanh-dai-2-quan-9-hoa-hong-cao-cho-ace-mg-hang-kin-moi-bung-pr41477137,60 m²,"6,6 tỷ",Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán cặp mặt tiền Vành Đai 2 Quận 9 - Hoa hồng cao cho ACE MG - Hàng kín mới bung,"Đường Số 8, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh",,4 m,Chưa Xác Thực,09/11/2024,19/11/2024,Ban Dat
19,Tin VIP Vàng,41477075,https://batdongsan.com.vn/ban-dat-duong-147-phuong-tang-nhon-phu-b/san-pham-vd2-hang-hiem-loi-x2-pr41477075,60 m²,"6,6 tỷ",,,,,Sổ đỏ/ Sổ hồng,,Sản phẩm VĐ2 - hàng hiếm - lời x2 (mình chính chủ),"Đường 147, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh",4 m,4 m,Chưa Xác Thực,09/11/2024,19/11/2024,Ban Dat
20,Tin VIP Vàng,41469339,https://batdongsan.com.vn/ban-dat-duong-ho-van-long-phuong-binh-hung-hoa-b/minh-chinh-chu-can-ban-nhanh-lo-2-mat-tien-truoc-sau-3-2ty-tl-cho-khach-thien-chi-pr41469339,55 m²,"3,2 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,"Mình chính chủ cần bán nhanh lô 2 mặt tiền trước sau, 3,2tỷ TL cho khách thiện chí","Đường Hồ Văn Long, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",7 m,"4,8 m",Chưa Xác Thực,08/11/2024,18/11/2024,Ban Dat
21,Tin VIP Vàng,41460223,https://batdongsan.com.vn/ban-dat-duong-linh-trung-phuong-linh-trung/chinh-chu-ban-nen-biet-thu-dt-10-5m-18m-khu-biet-thu-phia-sau-nha-may-coca-san-nha-xuong-pr41460223,"188,4 m²",13 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Chính chủ bán nền biệt thự, DT 10,5m * 18m. Khu biệt thự phía sau nhà máy coca, sẵn nhà xưởng","Phường Linh Trung, Thủ Đức, Hồ Chí Minh",10 m,"10,5 m",Chưa Xác Thực,07/11/2024,17/11/2024,Ban Dat
22,Tin VIP Vàng,41449703,https://batdongsan.com.vn/ban-dat-duong-762-xa-an-nhon-tay/cu-chi-tp-hcm-mua-tang-nha-va-xuong-pr41449703,600 m²,"4,5 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,"Củ Chi, TP HCM, mua đất tặng nhà và xưởng","Đường 762, Xã An Nhơn Tây, Củ Chi, Hồ Chí Minh",12 m,10 m,Chưa Xác Thực,06/11/2024,22/11/2024,Ban Dat
23,Tin VIP Vàng,41435924,https://batdongsan.com.vn/ban-dat-duong-tran-van-giau-xa-pham-van-hai/toi-can-ban-mat-tien-tinh-lo-10-binh-chanh-pr41435924,2.500 m²,Thỏa thuận,,,,,,,"Bán đất mặt tiền 2.500 m2 đường Trần Văn Giàu (Tỉnh lộ 10), xã Phạm Văn Hai, Bình Chánh","Đường Trần Văn Giàu, Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh",,,Chưa Xác Thực,05/11/2024,12/11/2024,Ban Dat
24,Tin VIP Vàng,41431906,https://batdongsan.com.vn/ban-dat-duong-nguyen-thi-ne-xa-phu-hoa-dong/ban-cu-chi-lo-2-mat-tien-tien-y-dung-nha-vuon-dt-513m2-tho-cu-300m2-pr41431906,513 m²,"2,7 tỷ",,,,,,,"Bán đất Củ Chi Xã Phú Hoà Đông, lô đất 2 mặt tiền, tiện xây dựng nhà vườn. DT 513m2, thổ cư 300m2","Đường Nguyễn Thị Nê, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh",,,Chưa Xác Thực,05/11/2024,15/11/2024,Ban Dat
25,Tin VIP Vàng,41389104,https://batdongsan.com.vn/ban-dat-duong-d3-xa-phong-phu-4/ban-tai-binh-chanh-gia-tot-nhat-pr41389104,160 m²,Thỏa thuận,Bắc,,,,Sổ đỏ/ Sổ hồng,,"Chính chủ bán 160m2 đất D3, Phong Phú, Bình Chánh thông với đường song hành QL50, Mt 30m2, KD tốt","Đường D3, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",30 m,30 m,Chưa Xác Thực,01/11/2024,16/11/2024,Ban Dat
26,Tin VIP Bạc,40983465,https://batdongsan.com.vn/ban-dat-duong-nguyen-kim-cuong-xa-tan-thanh-dong/can-ban-trong-cay-hang-nam-co-so-san-xuat-nong-nghiep-tong-dien-tich-2-000-m2-tai-huyen-cu-chi-pr40983465,2.000 m²,8 tỷ,,,,,,,"Cần bán đất trồng cây hàng năm - cơ sở sản xuất nông nghiệp, tổng diện tích 2.000 m2 huyện Củ Chi","417/15A Đường Nguyễn Kim Cương, Xã Tân Thạnh Đông, Củ Chi, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,27/11/2024,Ban Dat
27,Tin VIP Bạc,41502628,https://batdongsan.com.vn/ban-dat-duong-vinh-loc-xa-vinh-loc-b/cat-lo-lo-ngay-und-80-3m2-vuong-vut-gia-chi-3ti750-shr-pr41502628,"80,3 m²","3,75 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Cắt lỗ lô đất đường Vĩnh Lộc ngay UBND Vĩnh Lộc B 80.3m2 vuông vức, giá chỉ 3tỷ750 SHR","Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
28,Tin VIP Bạc,40594488,https://batdongsan.com.vn/ban-dat-duong-lien-phuong-phuong-phu-huu-2/chinh-chu-goi-ban-lo-mt-gia-tot-pr40594488,"957,7 m²",98 tỷ,Nam,,,,Sổ đỏ/ Sổ hồng,,"Chính chủ gửi bán lô đất MT đường Liên Phường, giá tốt","Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",30 m,"14,5 m",Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
29,Tin VIP Bạc,41329712,https://batdongsan.com.vn/ban-dat-duong-goc-rung-xa-an-nhon-tay/chu-ban-lo-lo-tho-vuon-cu-chi-1000m2-co-san-300m2-tho-cu-gia-chi-3ty100-ngan-hang-cho-vay-2ty8-pr41329712,990 m²,"2,9 tỷ",,,,,Sổ đỏ/ Sổ hồng,,Chủ bán lỗ lô đất thổ vườn Củ Chi 1000m2 có sẵn 300m2 thổ cư giá chỉ 2tỷ9 ngân hàng cho cao,"Đường Gốc Rưng, Xã An Nhơn Tây, Củ Chi, Hồ Chí Minh",6 m,20 m,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
30,Tin VIP Bạc,41412300,https://batdongsan.com.vn/ban-dat-duong-lien-ap-1-2-xa-pham-van-hai/ban-1-2-huyen-binh-chanh-pr41412300,"638,6 m²",11 tỷ,Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán đất đường Liên Ấp 1 - 2 xã Phạm Văn Hai huyện Bình Chánh,"Đường Liên ấp 1-2, Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh",7 m,,Chưa Xác Thực,03/11/2024,13/11/2024,Ban Dat
31,Tin thường,41432129,https://batdongsan.com.vn/ban-dat-duong-le-van-thinh-phuong-binh-trung-dong/ban-hem-o-to-gan-nga-3-va-nguyen-duy-trinh-pr41432129,82 m²,"6,1 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,Bán đất hẻm ô tô gần ngã 3 đường Lê Văn Thịnh và đường Nguyễn Duy Trinh,"Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",5 m,6 m,TIN XÁC THỰC,05/11/2024,15/11/2024,Ban Dat
32,Tin thường,41470684,https://batdongsan.com.vn/ban-dat-phuong-an-phu/b-190m-tho-cu-hem-4m-sat-ben-thao-dien-gia-17-5-ty-pr41470684,187 m²,"17,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán 187m2 đất thổ cư hẻm 4m phường An Phú, sát bên Thảo Điền giá 17.5 tỷ","Phường An Phú, Quận 2, Hồ Chí Minh",4 m,,TIN XÁC THỰC,08/11/2024,18/11/2024,Ban Dat
33,Tin thường,40922454,https://batdongsan.com.vn/ban-dat-duong-truong-van-bang-phuong-thanh-my-loi/ban-xay-cao-6-tang-khu-hanh-chinh-quan-2-dt-160m2-gia-chi-30-ty-4-so-hong-rieng-pr40922454,160 m²,"32,8 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán đất xây cao 6 tầng khu hành chính Thạnh Mỹ Lợi Quận 2, DT 160m2 giá chỉ 32 tỷ 8, sổ hồng riêng","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,07/11/2024,17/11/2024,Ban Dat
34,Tin thường,39531583,https://batdongsan.com.vn/ban-dat-duong-so-3-phuong-hiep-binh-chanh/ban-18x13m-khu-biet-thu-dan-chanh-pr39531583,203 m²,"14,2 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất (10*21m) khu biệt thự Bình Dân, Hiệp Bình Chánh, TP Thủ Đức","Đường Số 3, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,,TIN XÁC THỰC,06/11/2024,16/11/2024,Ban Dat
35,Tin thường,41358025,https://batdongsan.com.vn/ban-dat-duong-28-phuong-linh-dong/ban-gap-lo-mat-tien-xe-tai-ngay-vanh-dai-2-sieu-hot-pr41358025,"72,2 m²","5,2 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán gấp lô đất mặt tiền đường xe tải ngay vành đai 2 linh đông siêu hot: 0933 352 ***,"Đường 28, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,11/11/2024,21/11/2024,Ban Dat
36,Tin thường,40920631,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-15-xa-phu-hoa-dong/cat-ban-nhanh-162m2-mat-tien-15-cu-chi-pr40920631,162 m²,"1,45 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Cắt lỗ bán nhanh 162m2 đất mặt tiền Tỉnh Lộ 15, Phú Hòa Đông, Củ Chi","Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh.",,6 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
37,Tin thường,41377820,https://batdongsan.com.vn/ban-dat-xa-phuoc-thanh/gia-soc-855-trieu-206m2-tho-so-san-mat-tien-duong-nhua-cu-chi-pr41377820,206 m²,855 triệu,,,,,Sổ đỏ/ Sổ hồng.,,"Giá sốc 855 triệu/206m2 đất thổ, sổ sẵn, mặt tiền đường nhựa Phước Thạnh, Củ Chi","Xã Phước Thạnh, Củ Chi, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
38,Tin thường,40534208,https://batdongsan.com.vn/ban-dat-duong-4a-phuong-long-thanh-my/ban-tdc-phuoc-thien-7x21-16m-ngay-vinhomes-q9-pr40534208,147 m²,"6,9 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất TDC Phước Thiện 7x21m, đường 16m, ngay Vinhomes Q9","Đường 4A, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",16 m,7 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
39,Tin thường,40737974,https://batdongsan.com.vn/ban-dat-duong-kenh-a-xa-le-minh-xuan/chu-cn-bn-lo-02-mt-v-lo-2-thich-thien-ho-gi-chot-13-7ty-lh-pr40737974,2.241 m²,"13,7 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Chu cần bán lô 02 MT đường Kênh A và đường Lô 2 Thích Thiện Hoà, giá chốt 13,7tỷ. LH0909 805 ***","Đường Kênh A, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh",,45 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
40,Tin VIP Bạc,41501785,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-8-xa-tan-an-hoi/ban-2-mat-tien-nhua-nha-nuoc-215-5m2-gia-ngop-dau-tu-1-8-cu-chi-so-rieng-pr41501785,"215,5 m²","1,48 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Bán lô đất 2 mặt tiền đường nhựa nhà nước 215,5m2 giá ngộp đầu tư 1/ Tỉnh Lộ 8, Củ Chi-Sổ riêng","Đường Tỉnh lộ 8, Xã Tân An Hội, Củ Chi, Hồ Chí Minh",10 m,9 m,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
41,Tin VIP Bạc,41422274,https://batdongsan.com.vn/ban-dat-duong-vo-van-kiet-phuong-an-lac-6/chinh-chu-can-ban-nen-8mx18m-sat-mat-tien-vvk-canh-truong-hoc-cong-vien-pr41422274,58 m²,"3,6 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Chính chủ cần bán nền đất 8mx18m sát mặt tiền đường vvk cạnh trường học, công viên","Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",7 m,4 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
42,Tin VIP Bạc,41501665,https://batdongsan.com.vn/ban-dat-duong-le-van-luong-xa-nhon-duc/ngop-nh-5-5ty-can-ban-gap-tho-cu-100-254m2-12-5x25-quy-hoach-3-mat-tien-16m-gia-9-7ty-sh-pr41501665,254 m²,"9,7 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng,,Ngộp NH 5.5ty cần bán gấp đất thổ cư 100% 254m2 12.5x25 quy hoạch 3 mặt tiền đường 16m giá 9.7ty SH,"Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",6 m,"12,5 m",Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
43,Tin VIP Bạc,40722916,https://batdongsan.com.vn/ban-dat-duong-thong-nhat-phuong-15-6/ban-lo-hem-xe-hoi-15-quan-go-vap-dt-4x12m-gia-3-1ty-pr40722916,"48,1 m²","3,25 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán lô đất hẻm xe hơi phường 15 quận Gò Vấp, DT 4x12m, giá 3.25 tỷ","Đường Thống Nhất, Phường 15, Gò Vấp, Hồ Chí Minh",4 m,,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
44,Tin VIP Bạc,39293220,https://batdongsan.com.vn/ban-dat-duong-thanh-xuan-46-phuong-thanh-xuan/chinh-chu-ban-hoac-cho-thue-2-lo-mt-lien-ke-46-q12-shr-xe-hoi-xay-dung-tu-do-pr39293220,138 m²,"5,99 tỷ",,,,,Sổ hồng,,"Bán cắt lỗ lô mặt tiền Thạnh Xuân giảm sốc 1,2 tỷ tiềm năng sinh lời rất lớn, kinh doanh siêu đỉnh","Đường Thạnh Xuân 46, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",,,TIN XÁC THỰC,12/11/2024,27/11/2024,Ban Dat
45,Tin VIP Bạc,41499717,https://batdongsan.com.vn/ban-dat-duong-to-ky-xa-tan-xuan-5/-hang-hiem-dep-mat-tien-dt-12x27m-ngay-trung-tam-hoc-mon-xay-dung-hoan-cong-pr41499717,313 m²,22 tỷ,,,,,Sổ đỏ/ Sổ hồng,,** HÀNG HIẾM_ ĐẤT ĐẸP MẶT TIỀN TÔ KÝ_ DT 12x27m_ NGAY TRUNG TÂM HÓC MÔN_ XÂY DỰNG HOÀN CÔNG,"Tô Ký, Tân Xuân, Hóc Môn, Hồ Chí Minh",,30 m,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
46,Tin VIP Bạc,40150152,https://batdongsan.com.vn/ban-dat-duong-nguyen-van-tao-xa-long-thoi/tong-hop-cac-lo-can-ban-thoi-pr40150152,98 m²,"3,5 tỷ",,,,,,,"Tổng hợp các lô đất cần bán đường Nguyễn Văn Tạo, Long Thới","Đường Nguyễn Văn Tạo, Xã Long Thới, Nhà Bè, Hồ Chí Minh",20 m,,Chưa Xác Thực,12/11/2024,19/11/2024,Ban Dat
47,Tin VIP Bạc,41497705,https://batdongsan.com.vn/ban-dat-duong-lo-lu-phuong-truong-thanh/-mt-kinh-doanh-mt-h55-mt-cach-50m-vi-tri-ngay-nga-3-la-xuan-oai-pr41497705,65 m²,"3,95 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Đất MT kinh doanh - MT H55 - MT Lò Lu cách 50m, vị trí ngay Ngã 3 Lò Lu - lã xuân oai","Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",7 m,"5,6 m",Chưa Xác Thực,11/11/2024,18/11/2024,Ban Dat
48,Tin VIP Bạc,40983416,https://batdongsan.com.vn/ban-dat-phuong-hiep-phu-1/560m2-mat-tien-904-ngay-nga-tu-thu-duc-le-van-viet-vo-van-ngan-pr40983416,560 m²,130 triệu/m²,Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,"560m2 mặt tiền 904 - ngay ngã tư Thủ Đức, Lê Văn Việt, Võ Văn Ngân","904, Phường Hiệp Phú, Thủ Đức, Hồ Chí Minh",12 m,14 m,Chưa Xác Thực,11/11/2024,26/11/2024,Ban Dat
