Address,Square,Title,Link,Mã tin,Hướng,Loại tin,Đường trước nhà,Loại BDS,Pháp lý,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Price
"Phố Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",48m,Chính chủ bán nhà phân lô ngõ 8 Trần Quang Diệu Đống Đa 48m2x5T nhỉnh hơn 17 tỷ,https://123nhadatviet.com/chinh-chu-ban-nha-phan-lo-ngo-8-tran-quang-dieu-dong-da-48m2x5t-nhinh-hon-17-ty-6386146.html,6386146,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,5,9,"17,3 tỷ"
"Đường Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội",51m,🏠 BÁN ĐẤT XÂY CCMN - NGÔ THÌ NHẬM - NGÕ Ô TÔ - 51M² - 10.6 TỶ 📞 Hằng Mini 0988183187,https://123nhadatviet.com/-ban-dat-xay-ccmn-ngo-thi-nham-ngo-o-to-51m-10-6-ty-hang-mini-0988183187-6812721.html,6812721,_,Cần bán,,,Sổ hồng/ Sổ đỏ,,,,,"10,6 tỷ"
"Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",99m,Chính chủ bán toà văn phòng thông số phong thuỷ phố Phạm Văn Trường Cầu Giấy 99m2x9T,https://123nhadatviet.com/chinh-chu-ban-toa-van-phong-thong-so-phong-thuy-pho-pham-van-truong-cau-giay-99m2x9t-5744116.html,5744116,_,Cần bán,,Văn phòng,Sổ hồng/ Sổ đỏ,,,9,9,"69,99 tỷ"
"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",170m,Chính chủ bán nhà mặt phố Xã Đàn Đống Đa 170m2x5T nhỉnh hơn 119 tỷ,https://123nhadatviet.com/chinh-chu-ban-nha-mat-pho-xa-dan-dong-da-170m2x5t-nhinh-hon-119-ty-6079272.html,6079272,_,Cần bán,,Nhà phố,Sổ hồng/ Sổ đỏ,,,5,8,"119,8 tỷ"
"Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",100m,Chính chủ bán toà Văn Phòng mặt phố Trung Kính Cầu Giấy 100m2x6T nhỉnh hơn 70 tỷ,https://123nhadatviet.com/chinh-chu-ban-toa-van-phong-mat-pho-trung-kinh-cau-giay-100m2x6t-nhinh-hon-70-ty-4530098.html,4530098,_,Cần bán,,Văn phòng,Sổ hồng/ Sổ đỏ,,,6,6,71 tỷ
"Đường Nguyễn Tông Quai, Phường Trần Lãm, Thành phố Thái Bình, Thái Bình",185m,"BÁN NHÀ 3 TẦNG, TĐC TRẦN LÃM, TP. THÁI BÌNH, 185M2, THÍCH HỢP KINH DOANH",https://123nhadatviet.com/ban-nha-3-tang-tdc-tran-lam-tp-thai-binh-185m2-thich-hop-kinh-doanh-6871020.html,6871020,_,Cần bán,6m,Nhà phố,Sổ hồng/ Sổ đỏ,16m,12m,3,,12 tỷ
"Phố Tuệ Tĩnh, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",189m,"Cực Vip! Bán Nhà Mặt Phố Tuệ Tĩnh, Hai Bà Trưng 189m2, Giá Siêu Rẻ Chỉ 422tr/m",https://123nhadatviet.com/cuc-vip-ban-nha-mat-pho-tue-tinh-hai-ba-trung-189m2-gia-sieu-re-chi-422tr-m-6429753.html,6429753,_,Cần bán,15m,Văn phòng,Sổ hồng/ Sổ đỏ,,,5,10,80 tỷ
"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",130m,Chính chủ bán toà văn phòng phố Trần Thái Tông Cầu Giấy 130m2x7T nhỉnh hơn 60 tỷ,https://123nhadatviet.com/chinh-chu-ban-toa-van-phong-pho-tran-thai-tong-cau-giay-130m2x7t-nhinh-hon-40-ty-3583133.html,3583133,_,Cần bán,,Văn phòng,Sổ hồng/ Sổ đỏ,,,7,7,68 tỷ
"Xã Khánh Phú, Huyện Khánh Vĩnh, Khánh Hòa",4600m,"bán đất đường betong oto rộng 4.600m giá chỉ 450tr xã Khánh Phú, Khánh Vĩnh",https://123nhadatviet.com/ban-dat-duong-betong-oto-rong-4-600m-gia-chi-450tr-xa-khanh-phu-khanh-vinh-6737962.html,6737962,_,Cần bán,7m,,Sổ hồng/ Sổ đỏ,,,,,450 triệu
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",85m,Chính chủ cần bán nhà mặt phố Hoàng Quốc Việt Cầu Giấy 85m2x6T nhỉnh hơn 32 tỷ,https://123nhadatviet.com/chinh-chu-can-ban-nha-mat-pho-hoang-quoc-viet-cau-giay-85m2x6t-nhinh-hon-32-ty-4701639.html,4701639,_,Cần bán,,Nhà phố,Sổ hồng/ Sổ đỏ,,,6,8,32 tỷ
"Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",115m,Chính chủ bán toà văn phòng phố Tôn Đức Thắng Đống Đa115m2x10T nhỉnh hơn 70 tỷ,https://123nhadatviet.com/chinh-chu-ban-toa-van-phong-pho-ton-duc-thang-dong-da115m2x10t-nhinh-hon-70-ty-5661573.html,5661573,_,Cần bán,,Văn phòng,Sổ hồng/ Sổ đỏ,,,10,9,"70,5 tỷ"
"Xã Diên Tân, Huyện Diên Khánh, Khánh Hòa",18000m,"bán đất 1,8 hecta gần Hồ Cây Sung xã Diên Tân, Diên Khánh mặt tiền gần 200m giá rẻ",https://123nhadatviet.com/ban-dat-1-8-hecta-gan-ho-cay-sung-xa-dien-tan-dien-khanh-mat-tien-gan-200m-gia-re-6738077.html,6738077,_,Cần bán,8m,,Sổ hồng/ Sổ đỏ,,,,,"150 ngàn / m
2
  "
"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",47m,"Bán nhà Huỳnh Thị Hai Q12, 47m2, 2 Phòng ngủ, ngang 4m, Đ. 6m giá chỉ 3.x tỷ",https://123nhadatviet.com/ban-nha-huynh-thi-hai-q12-47m2-2-phong-ngu-ngang-4m-d-6m-gia-chi-3-x-ty-6560825.html,6560825,_,Cần bán,6m,Nhà riêng,Sổ hồng/ Sổ đỏ,4m,14m,,2,"3,4 tỷ"
"Phố Thợ Nhuộm, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",88m,"Bán Nhà Mặt Phố Thợ Nhuộm, Quận Hoàn Kiếm 88m2x3T MT:5,2m, Lô Góc, Giá Rẻ.",https://123nhadatviet.com/ban-nha-mat-pho-tho-nhuom-quan-hoan-kiem-88m2x3t-mt-5-2m-lo-goc-gia-re--6146407.html,6146407,_,Cần bán,30m,Nhà phố,Sổ hồng/ Sổ đỏ,,,3,4,53 tỷ
"Xã Khánh Phú, Huyện Khánh Vĩnh, Khánh Hòa",1000m,"bán 1.000m2 đất quy hoạch thổ cư đường nhựa Hương Lộ 62 xã Khánh Phú, Khánh Vĩnh",https://123nhadatviet.com/ban-1-000m2-dat-quy-hoach-tho-cu-duong-nhua-huong-lo-62-xa-khanh-phu-khanh-vinh-6749987.html,6749987,_,Cần bán,20m,,Sổ hồng/ Sổ đỏ,,,,,"1,25 tỷ"
"Xã Khánh Phú, Huyện Khánh Vĩnh, Khánh Hòa",19000m,"bán đất 1,9 hecta đường oto làm nhà vườn, trang trại gần HL62 xã Khánh Phú, Khánh Vĩnh",https://123nhadatviet.com/ban-dat-1-9-hecta-duong-oto-lam-nha-vuon-trang-trai-gan-hl62-xa-khanh-phu-khanh-vinh-6751380.html,6751380,_,Cần bán,7m,,Sổ hồng/ Sổ đỏ,,,,,"2,1 tỷ"
"Phố Đặng Văn Ngữ, Phường Trung Tự, Quận Đống Đa, Hà Nội",80m,Chính chủ cần bán căn nhà ở ngõ 62 Đặng Văn Ngữ Đống Đa 80m2x5T nhỉnh hơn 15 tỷ,https://123nhadatviet.com/chinh-chu-can-ban-can-nha-o-ngo-62-dang-van-ngu-dong-da-80m2x5t-nhinh-hon-11-ty-3354888.html,3354888,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,5,10,"15,7 tỷ"
"Đường Bưng Ông Thoàn, Phường Phú Hữu, Thành phố Thủ Đức, Hồ Chí Minh",160m,"Bán Đất nền giá tốt KDC Thời báo kinh tế, đường Bưng Ông Thoàn, Phường Phú Hữu, Diện tích",https://123nhadatviet.com/ban-dat-nen-gia-tot-kdc-thoi-bao-kinh-te-duong-bung-ong-thoan-phuong-phu-huu-dien-tich-5363220.html,5363220,Tây,Cần bán,12m,,Sổ hồng/ Sổ đỏ,8m,20m,,,"9,12 tỷ"
"Phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",68m,Chính chủ bán nhà phân lô oto tránh phố Hào Nam Đống Đa 68m2x8T nhỉnh hơn 28 tỷ,https://123nhadatviet.com/chinh-chu-ban-nha-phan-lo-oto-tranh-pho-hao-nam-dong-da-68m2x8t-nhinh-hon-28-ty-6571739.html,6571739,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,8,9,"28,4 tỷ"
"Xã Sông Cầu, Huyện Khánh Vĩnh, Khánh Hòa",28000m,"bán 28.000m2 xã Sông Cầu, Khánh Vĩnh có Suối nhỏ giá chỉ 60k/m2 LH 0788.558.552",https://123nhadatviet.com/ban-28-000m2-xa-song-cau-khanh-vinh-co-suoi-nho-gia-chi-60k-m2-lh-0788-558-552-6753023.html,6753023,_,Cần bán,6m,,Sổ hồng/ Sổ đỏ,,,,,"1,7 tỷ"
"Xã Khánh Nam, Huyện Khánh Vĩnh, Khánh Hòa",15000m,bán 15.000m2 đất giáp Suối gần trung tâm huyện Khánh Vĩnh giá rẻ LH 0788.558.552,https://123nhadatviet.com/ban-15-000m2-dat-giap-suoi-gan-trung-tam-huyen-khanh-vinh-gia-re-lh-0788-558-552-6765576.html,6765576,_,Cần bán,8m,,Sổ hồng/ Sổ đỏ,24m,,,,"2,775 tỷ"
"Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",26105m,"Chính chủ nhượng lại mảnh đất dự án bệnh viện đã có GPXD,300 giường bệnh ,ỏ Mỹ Đình",https://123nhadatviet.com/chinh-chu-nhuong-lai-manh-dat-du-an-benh-vien-da-co-gpxd-300-giuong-benh-o-my-dinh-5332162.html,5332162,_,Cần bán,,,Giấy tờ hợp lệ,,,,,500 tỷ
"Xã Khánh Nam, Huyện Khánh Vĩnh, Khánh Hòa",14000m,"bán đất làm nhà vườn gần trung tâm huyện Khánh Vĩnh rộng 1,4 hecta mặt tiền 130m giá rẻ",https://123nhadatviet.com/ban-dat-lam-nha-vuon-gan-trung-tam-huyen-khanh-vinh-rong-1-4-hecta-mat-tien-130m-gia-re-6765636.html,6765636,_,Cần bán,,,Sổ hồng/ Sổ đỏ,,,,,"2,94 tỷ"
"Đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",90m,"Chính chủ bán toà văn phòng phố Trần Duy Hưng Cầu Giấy 90m2x7,5T nhỉnh hơn 30 tỷ",https://123nhadatviet.com/chinh-chu-ban-toa-van-phong-pho-tran-duy-hung-cau-giay-90m2x7-5t-nhinh-hon-30-ty-5640470.html,5640470,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,7,7,32 tỷ
"Đường Hương lộ 62, Xã Diên Tân, Huyện Diên Khánh, Khánh Hòa",533m,"bán 533m gần đường nhựa Hương Lộ 62 xã Diên Tân, Diên Khánh qh thổ cư giá rẻ",https://123nhadatviet.com/ban-533m-gan-duong-nhua-huong-lo-62-xa-dien-tan-dien-khanh-qh-tho-cu-gia-re-6766854.html,6766854,_,Cần bán,7m,,Sổ hồng/ Sổ đỏ,,,,,517 triệu
"Phố Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",80m,Chính chủ cần bán căn nhà ở phố Trần Quang Diệu Đống Đa 80m2x6T nhỉnh hơn 18 tỷ,https://123nhadatviet.com/chinh-chu-can-ban-can-nha-o-pho-tran-quang-dieu-dong-da-80m2x6t-nhinh-hon-17-ty-3547593.html,3547593,_,Cần bán,,Nhà phố,Sổ hồng/ Sổ đỏ,,,6,12,"18,8 tỷ"
"Đường Liên Phường, Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh",340m,"Cập nhật giỏ hàng đầu năm Biệt thự cần bán gấp KDC Phú Nhuận - Phước Long B, DT 340m2",https://123nhadatviet.com/cap-nhat-gio-hang-dau-nam-biet-thu-can-ban-gap-kdc-phu-nhuan-phuoc-long-b-dt-340m2-5528657.html,5528657,Đông,Cần bán,12m,,Sổ hồng/ Sổ đỏ,17m,21m,,,"21,08 tỷ"
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",110m,Chính chủ bán toà Văn Phòng phố Láng Hạ Đống Đa 110m2x10T nhỉnh hơn 50 tỷ,https://123nhadatviet.com/chinh-chu-ban-toa-van-phong-pho-lang-ha-dong-da-110m2x10t-nhinh-hon-40-ty-3685152.html,3685152,_,Cần bán,,Văn phòng,Sổ hồng/ Sổ đỏ,,,10,10,55 tỷ
"Đường Hương lộ 62, Xã Diên Tân, Huyện Diên Khánh, Khánh Hòa",2000m,"bán đất làm nhà vườn view đẹp 2.000m2 qh thổ cư gần chợ trường, xã Diên Tân, Diên Khánh",https://123nhadatviet.com/ban-dat-lam-nha-vuon-view-dep-2-000m2-qh-tho-cu-gan-cho-truong-xa-dien-tan-dien-khanh-6860335.html,6860335,_,Cần bán,7m,,Sổ hồng/ Sổ đỏ,,,,,"1,5 tỷ"
"Đường Đại Cồ Việt, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",165m,"Cực Vip! Bán Nhà Mặt Phố Đại Cồ Việt, Hai Bà Trưng 165m2, 9T, MT:6,5m, Giá Rẻ Nhất.",https://123nhadatviet.com/cuc-vip-ban-nha-mat-pho-dai-co-viet-hai-ba-trung-165m2-9t-mt-6-5m-gia-re-nhat--6399789.html,6399789,_,Cần bán,19m,Nhà phố,Sổ hồng/ Sổ đỏ,,26m,9,18,151 tỷ
"Đường 6A, Xã Vĩnh Thái, Thành phố Nha Trang, Khánh Hòa",64m,bán nhà 1 lầu đường nhựa 16m hướng Tây Nam gá chỉ 2 tỷ 350tr gần đường Phong Châu,https://123nhadatviet.com/ban-nha-1-lau-duong-nhua-16m-huong-tay-nam-ga-chi-2-ty-350tr-gan-duong-phong-chau-6860171.html,6860171,_,Cần bán,16m,Nhà riêng,Sổ hồng/ Sổ đỏ,4m,,1,3,"2,35 tỷ"
"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",135m,Đẳng cấp là mãi mãi -Toà văn phòng đa chức năng phố Thái Hà Đống Đa 135m2x8T,https://123nhadatviet.com/dang-cap-la-mai-mai-toa-van-phong-da-chuc-nang-pho-thai-ha-dong-da-135m2x8t-nhinh-hon-70y-4816460.html,4816460,_,Cần bán,,Văn phòng,Sổ hồng/ Sổ đỏ,,,8,10,"46,5 tỷ"
"Đường Hương lộ 62, Xã Diên Tân, Huyện Diên Khánh, Khánh Hòa",2500m,bán đất làm nhà vườn view đẹp 2.500m quy hoạch full thổ cư giá chỉ 670tr gần chợ trường,https://123nhadatviet.com/ban-dat-lam-nha-vuon-view-dep-2-500m-quy-hoach-full-tho-cu-gia-chi-670tr-gan-cho-truong-6858151.html,6858151,_,Cần bán,6m,,Sổ hồng/ Sổ đỏ,,,,,670 triệu
"Xã Khánh Trung, Huyện Khánh Vĩnh, Khánh Hòa",8500m,bán đất có thổ cư 8.500m2 đường nhựa TL8B giáp Suối làm nhà vườn giá rẻ huyện Khánh Vĩnh,https://123nhadatviet.com/ban-dat-co-tho-cu-8-500m2-duong-nhua-tl8b-giap-suoi-lam-nha-vuon-gia-re-huyen-khanh-vinh-6856096.html,6856096,_,Cần bán,,,,,,,,"2,1 tỷ"
