Address,Price,Title,Square,Mã tin,Hướng,Loại tin,Đường trước nhà,Loại BDS,Pháp lý,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ
"Đường Yên Thế, Phường 2, Quận Tân Bình, Hồ Chí Minh","4,4 tỷ","BÁN GẤP CĂN NHÀ ĐI ĐỊNH CƯ NƯỚC NGOÀI 1T2L ĐƯỜNG YÊN THẾ, P2, TÂN BÌNH.GIÁ 4.4 TỶ",52 m2,15388104,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,2.0,4.0
"Đường Lê Đại Hành, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng","5,39 tỷ","Nhà mặt tiền Đỗ Đăng Tuyển, 90m2, 3 tầng tặng nội thất, đường 7,5m, view công viên, 5.X TỶ",90 m2,14728844,,Cần bán,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,3.0,4.0
"0x Đường Nguyễn Du, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",56 tỷ,MẶT TIỀN NGUYỄN DU ĐÀ NẴNG LÔ GÓC 405M2 NGANG 9.5M CẦN BÁN NHANH.,405 m2,15328376,,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,45m,1.0,3.0
"Đường Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Hồ Chí Minh","4,2 tỷ","Gấp chỉ với 4 tỷ 2 có ngay nhà Nguyễn Kiệm, 72m2 , hẻm xe hơi , dân cư đông đúc , SHR",72 m2,15381612,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,,4.0,4.0
"Đường Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, Hồ Chí Minh","2,9 tỷ","Bán nhà đang cho thuê 13tr/ tháng ngay Nguyễn Thái Sơn, Gò Vấp. Giá: 2.9 tỷ/62m2, sổ riêng",62 m2,15383349,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,15m,3.0,4.0
"Đường Nghiêm Xuân Yêm, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",46 tỷ,MẶT PHỐ NGHIÊM XUÂN YÊM - HOÀNG MAI- 2 MẶT TIỀN -KINH DOANH- DT 117m2- GIÁ 46 tỷ,117 m2,15406643,,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,4.0,4.0
"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh","2,29 tỷ","🔥GẤP GẤP GẤP | Bán gấp nhà Xô Viết Nghệ Tĩnh, P21, Bình Thạnh🔥2,290 Tỷ/43m2 | SHR🔥",43 m2,15405632,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,12m,2.0,3.0
"Đường Bùi Thị Xuân, Phường 3, Quận Tân Bình, Hồ Chí Minh","2,15 tỷ","🔥NHÀ NGỘP GIÁ RẺ | BÙI THỊ XUÂN, P3, TÂN BÌNH🔥2,150 TỶ/43M2, SHR🔥",43 m2,15405825,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,2.0,4.0
"Đường Số 4, Phường 5, Quận Gò Vấp, Hồ Chí Minh","2,58 tỷ","🔥 Hụt vốn bán gấp ĐƯỜNG SỐ 4, PHƯỜNG 5, GÒ VẤP. DT 59m2 Giá 2,580 Tỷ | SHR🔥",59 m2,15406401,,Cần bán,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,2.0,3.0
"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh","3,85 tỷ","🔥 BÁN NHÀ GIÁ RẺ 🔥Lê Đức Thọ, phường 6, Gò Vấp | 3850 TỶ/57M2, SHR🔥",57 m2,15412585,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,2.0,3.0
"Đường Tô Ngọc Vân, Phường Linh Đông, Thành phố Thủ Đức, Hồ Chí Minh","3,9 tỷ","Chính chủ giảm 200 triệu. Nhà DTSD 100M. Còn 3 tỷ 900, 155/ 2 Tô Ngọc Vân, TP Thủ Đức",100 m2,15073399,,Cần bán,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,,1.0,3.0
"Đường Số 8, Phường Linh Tây, Thành phố Thủ Đức, Hồ Chí Minh","7,72 tỷ","CHÍNH CHỦ BÁN NHÀ TRỌ 119M2 GIÁ 7 TỶ 720 ĐƯỜNG 8, P.LINH TÂY, TP THỦ ĐỨC (ĐỊA CHỈ CŨ 15/4)",160 m2,15361342,,Cần bán,,Nhà trong hẻm,,,,1.0,
"Đường Bùi Văn Thêm, Phường 9, Quận Phú Nhuận, Hồ Chí Minh","3,28 tỷ","NHÀ NGỘP NGAY MẶT TIỀN ĐƯỜNG BÙI VĂN THÊM PHƯỜNG 9 QUẬN PHÚ NHUẬN. DT: 45,6m2 Giá: 3Tỷ280",46 m2,15412580,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,11m,2.0,3.0
"Đường Trần Thị Cờ, Phường Thới An, Quận 12, Hồ Chí Minh","2,46 tỷ","Bán nhà Đ. Trần Thị Cờ, P. Thới An, Quận 12.Giá: 2 tỷ 460. DT: 46,5m2. Hẻm xe hơi. SHR",46 m2,15295855,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,2.0,3.0
"Đường Phạm Cự Lượng, Phường 2, Quận Tân Bình, Hồ Chí Minh","2,85 tỷ","Siêu phẩm nhà đẹp! Hẻm ôtô Phạm Cự Lượng, P. 2, Tân Bình.Giá:2tỷ850. DT:58,5m2. SHR.",58 m2,15388846,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,13m,3.0,5.0
"Đường Gia Phú, Phường 1, Quận 6, Hồ Chí Minh","1,35 tỷ","Bán nhà hẻm xe hơi 1T/1L Đ. Gia Phú, P.1, Q.6. Giá:1tỷ350. DT:35m2, SHR.",35 m2,15388915,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,10m,1.0,2.0
"Đường Đoàn Văn Bơ, Phường 13, Quận 4, Hồ Chí Minh","2,14 tỷ","Kẹt tiền giảm giá bán nhanh căn nhà HXH Đ. Đoàn Văn Bơ, P.13, Q.4.Giá2tỷ140. DT: 41,4m2.",41 m2,15388932,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,1.0,2.0
"751 Đường Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội","4,25 tỷ",Bán nhà Bát Khối 31m 4 tầng khu dân trí cao cạnh công an phường,31 m2,15399014,,Cần bán,3m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,3.0,4.0
"Đường Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",57 tỷ,"Bán nhà mặt phố Trần Khát Chân, mặt tiền 7.45m, 105m2 chỉ 57 tỷ",105 m2,15405870,,Cần bán,17m,Nhà mặt tiền,,,,7.0,3.0
"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",630 triệu,"🍀Bán gấp nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 7,5tr/th-120m2-630tr",120 m2,15300231,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,20m,1.0,3.0
"Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, Hồ Chí Minh","19,5 tỷ",‼️LÔ GÓC 117M2 - 🍀MẶT TIỀN KHU SẦM UẤT - PHAN VĂN TRỊ - BÙI ĐÌNH TUÝ - 20TỶ ✍️ HỢP TÁC MG,117 m2,14942465,,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,23m,2.0,5.0
"Đường Nguyễn Văn Đậu, Phường 5, Quận Bình Thạnh, Hồ Chí Minh","6,75 tỷ","(BÌNH THẠNH) Bán nhà phường 5 Quận Bình Thạnh Giá Chỉ 6,75 Triệu",39 m2,15403491,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,10m,3.0,4.0
"Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội","12,48 tỷ","BÁN NHÀ 6 TẦNG THANG MÁY PHỐ BỒ ĐỀ- NGUYỄN VĂN CỪ, Ô TÔ VÀO NHÀ, DT: 50M, GIÁ: 12,48 TỶ",50 m2,15389932,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,11m,6.0,3.0
"Đường Đinh Đức Thiện, Xã Tân Quý Tây, Huyện Bình Chánh, Hồ Chí Minh","1,5 tỷ","Bán Nhà Cách Chợ Bình Chánh 3km . Gía 100% Không Phát Sinh Thêm , Sổ Hồng Riêng .",110 m2,15394533,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,1.0,3.0
"Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh","3,948 tỷ",GẤP bán nhà chính chủ xây ở đúc kiên cố 5 tầng 3PN 4WC hẻm đẹp ở Nguyễn Văn Lượng Gò Vấp,33 m2,15411338,,Cần bán,2m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,5m,4.0,3.0
"16 Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","9,8 tỷ","Bán Nhà Định Công Thượng Hoàng Mai Đầu Vũ Tông Phan 9,8 tỷ",63 m2,15295024,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,15m,4.0,5.0
"Đường Nguyễn Văn Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội","8,88 tỷ","BÁN NHÀ DÂN XÂY, 48m2, Kinh doanh, 6 tầng, Gara, Thang máy, ô tô tránh, gần Aeon Long Biên",48 m2,15344584,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,6.0,4.0
"Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","5,5 tỷ",SỤP HẦM ! Chủ giảm ngay 1 TỶ: NHÀ MẶT TIỀN HUỲNH NGỌC HUỆ - 48m² ngang 4m - 3 TẦNG,48 m2,15343889,,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,12m,2.0,3.0
"Đường Bùi Thanh Khiết, Thị trấn Tân Túc, Huyện Bình Chánh, Hồ Chí Minh",750 triệu,"Nhà 1 trệt 1 lầu, 100m2 - Giá 750 triệu - SHR - Chợ Bình Chánh - đường Bùi Thanh Khiết",100 m2,15391055,,Cần bán,12m,Nhà mặt tiền,,5m,20m,3.0,3.0
"Đường Hồ Bá Kiện, Phường 15, Quận 10, Hồ Chí Minh",17 tỷ,Hai Mặt Tiền Hồ Bá Kiện Q10 ( 4.7 * 16 ) 2 lầu 17 Tỷ,75 m2,15410189,,Cần bán,16m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,16m,2.0,4.0
"Đường Tân Xuân 6, Xã Tân Xuân, Huyện Hóc Môn, Hồ Chí Minh",720 triệu,Chú tôi cần bán gấp nhà cấp 4 siêu đẹp ở Tân Xuân 6 ( sổ hồng riêng ) giá 720 triệu,62 m2,15409639,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,17m,,2.0
"Đường Trường Sa, Phường 2, Quận Phú Nhuận, Hồ Chí Minh","2,5 tỷ","CHỦ ĐỊNH CƯ BÁN GẤP SẢN PHẨM GIÁ TỐT ! ĐƯỜNG TRƯỜNG SA-PN, GIÁ 2TỶ5, BAO SỔ, DT: 40,2M2",40 m2,15405245,,Cần bán,5m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,,2.0,3.0
"11 Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","22,45 tỷ",PHÂN LÔ Ô TÔ TRÁNH - MẶT NGÕ THÔNG - KINH DOANH VP,70 m2,15408476,,Cần bán,10m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,14m,5.0,6.0
